Pfam_Architecture	UniProt_ID
Peptidase_C14[7:242]-AAA_11[542:885]-AAA_12[917:1097]	tr|A0A0K3B1H4|A0A0K3B1H4_9PSEU
Peptidase_C14[5:233]-AAA_11[543:897]-AAA_12[928:1108]	tr|A0A0F0HND8|A0A0F0HND8_9PSEU
Peptidase_C14[6:209]-AAA_11[542:899]-AAA_12[943:1119]	tr|A0A5J6U8K3|A0A5J6U8K3_9ACTN
Peptidase_C14[4:237]-AAA_11[541:886]-AAA_12[923:1101]	tr|A0A4S2R0J2|A0A4S2R0J2_9ACTN
Peptidase_C14[6:242]-AAA_19[548:835]-AAA_11[836:883]-AAA_12[916:1095]	tr|A0A1H9MU00|A0A1H9MU00_9PSEU
Peptidase_C14[6:232]-AAA_11[526:589]-AAA_19[590:827]-AAA_11[828:868]-AAA_12[900:1079]	tr|A0A1H9WL19|A0A1H9WL19_9PSEU
Peptidase_C14[7:203]-AAA_11[540:887]-AAA_12[919:1099]	tr|A0A1L7FC16|A0A1L7FC16_9PSEU
Peptidase_C14[48:279]-AAA_19[577:875]-AAA_11[876:914]-AAA_12[955:1126]	tr|K0JPU5|K0JPU5_SACES
Peptidase_C14[6:245]-AAA_11[559:629]-AAA_19[630:870]-AAA_11[871:921]-AAA_12[965:1146]	tr|A0A1C4TF02|A0A1C4TF02_9ACTN
Peptidase_C14[7:229]-AAA_11[545:900]-AAA_12[936:1118]	tr|A0A1Q8JG60|A0A1Q8JG60_9PSEU
Peptidase_C14[7:245]-AAA_11[553:725]-AAA_19[726:897]-AAA_12[932:1108]	tr|A0A4R5C922|A0A4R5C922_9ACTN
Peptidase_C14[6:226]-AAA_11[553:915]-AAA_12[959:1140]	tr|A0A0N1FMY3|A0A0N1FMY3_9ACTN
Peptidase_C14[7:244]-AAA_11[544:886]-AAA_12[923:1102]	tr|H6RC09|H6RC09_NOCCG
Peptidase_C14[6:242]-AAA_11[556:626]-AAA_19[627:891]-AAA_11[892:933]-AAA_12[977:1157]	tr|A0A1H2D3W0|A0A1H2D3W0_9ACTN
Peptidase_C14[6:242]-AAA_11[556:626]-AAA_19[627:891]-AAA_11[892:933]-AAA_12[977:1157]	tr|A0A397QBW4|A0A397QBW4_9ACTN
Peptidase_C14[6:242]-AAA_11[556:626]-AAA_19[627:891]-AAA_11[892:933]-AAA_12[977:1157]	tr|A0A3E0GPU4|A0A3E0GPU4_9ACTN
Peptidase_C14[6:204]-AAA_11[556:626]-AAA_19[627:890]-AAA_11[891:933]-AAA_12[977:1157]	tr|A0A209C4K5|A0A209C4K5_9ACTN
Peptidase_C14[3:192]-AAA_11[547:890]-AAA_12[938:1108]	tr|A0A1R3UKP3|A0A1R3UKP3_9ACTN
Peptidase_C14[6:203]-AAA_11[553:617]-AAA_19[618:871]-AAA_11[872:915]-AAA_12[959:1140]	tr|A0A6G4XJ48|A0A6G4XJ48_9ACTN
Peptidase_C14[3:219]-AAA_11[554:647]-AAA_19[648:843]-AAA_11[844:897]-AAA_12[944:1115]	tr|A0A543NLB7|A0A543NLB7_9ACTN
Peptidase_C14[6:202]-AAA_11[555:634]-AAA_30[635:646]-AAA_19[647:878]-AAA_11[879:920]-AAA_12[963:1145]	tr|A0A3N1Q357|A0A3N1Q357_9ACTN
Peptidase_C14[6:245]-AAA_11[539:881]-AAA_12[912:1091]	tr|A0A1I5W871|A0A1I5W871_9PSEU
Peptidase_C14[11:228]-AAA_11[536:623]-AAA_19[624:881]-AAA_12[919:1097]	tr|Q0RMZ2|Q0RMZ2_FRAAA
Peptidase_C14[6:242]-AAA_11[559:922]-AAA_12[966:1147]	tr|A0A5P2DV73|A0A5P2DV73_STRVZ
Peptidase_C14[6:248]-AAA_11[560:633]-AAA_19[634:859]-AAA_11[860:927]-AAA_12[972:1152]	tr|A0A370W2F8|A0A370W2F8_9ACTN
Peptidase_C14[6:238]-AAA_11[554:916]-AAA_12[960:1140]	tr|A0A5P2XHW1|A0A5P2XHW1_STRST
Peptidase_C14[2:150]-AAA_11[547:890]-AAA_12[938:1108]	tr|A0A495LAR3|A0A495LAR3_9ACTN
Peptidase_C14[2:238]-AAA_30[563:625]-AAA_11[626:635]-AAA_19[636:881]-AAA_11[882:924]-AAA_12[968:1149]	tr|A0A0M8TSY1|A0A0M8TSY1_9ACTN
Peptidase_C14[3:180]-AAA_11[572:913]-AAA_12[960:1130]	tr|A0A223S481|A0A223S481_9ACTN
AAA_30[125:312]-AAA_12[369:419]-Peptidase_C14[543:826]	tr|A0A4S4K9R8|A0A4S4K9R8_9APHY
Peptidase_C14[3:221]-AAA_11[545:654]-AAA_19[655:849]-AAA_11[850:889]-AAA_12[938:1107]	tr|J7L4V3|J7L4V3_NOCAA
Peptidase_C14[6:241]-AAA_11[560:635]-AAA_11[887:928]-AAA_12[974:1152]	tr|A0A542W7W4|A0A542W7W4_9ACTN
Peptidase_C14[6:246]-AAA_11[560:633]-AAA_11[888:927]-AAA_12[973:1151]	tr|A0A542UNP2|A0A542UNP2_9ACTN
Peptidase_C14[6:243]-AAA_11[559:633]-AAA_19[634:871]-AAA_11[872:921]-AAA_12[965:1146]	tr|A0A0F4IN59|A0A0F4IN59_9ACTN
Peptidase_C14[6:240]-AAA_30[567:657]-AAA_19[658:905]-AAA_11[906:950]-AAA_12[994:1175]	tr|A0A646KAG0|A0A646KAG0_STRJU
Peptidase_C14[7:242]-AAA_11[554:640]-AAA_19[641:848]-AAA_11[849:897]-AAA_12[941:1112]	tr|A0A6I5K3U8|A0A6I5K3U8_9ACTN
Peptidase_C14[6:248]-AAA_11[560:927]-AAA_12[973:1150]	tr|A0A6H0CU57|A0A6H0CU57_9ACTN
Peptidase_C14[7:241]-AAA_11[551:896]-AAA_12[937:1113]	tr|A0A6H9YM72|A0A6H9YM72_9ACTN
Peptidase_C14[6:247]-AAA_11[560:637]-AAA_19[638:884]-AAA_11[885:927]-AAA_12[973:1151]	tr|A0A221P488|A0A221P488_9ACTN
Peptidase_C14[2:230]-AAA_11[543:905]-AAA_12[946:1130]	tr|E2PUT4|E2PUT4_STRCL
Peptidase_C14[6:244]-AAA_11[556:630]-AAA_19[631:882]-AAA_11[883:926]-AAA_12[970:1150]	tr|A0A101TD62|A0A101TD62_9ACTN
Peptidase_C14[6:247]-AAA_11[552:908]-AAA_12[952:1132]	tr|A0A3S9YIG7|A0A3S9YIG7_9ACTN
Peptidase_C14[7:245]-AAA_11[555:660]-AAA_11[873:915]-AAA_12[955:1127]	tr|A0A6G2WUT1|A0A6G2WUT1_9ACTN
Peptidase_C14[6:242]-AAA_11[557:630]-AAA_19[631:895]-AAA_11[896:940]-AAA_12[984:1164]	tr|C9ZFU2|C9ZFU2_STRSW
Peptidase_C14[6:250]-AAA_11[553:918]-AAA_12[961:1141]	tr|A0A3N4S012|A0A3N4S012_9ACTN
Peptidase_C14[6:242]-AAA_11[556:631]-AAA_19[637:888]-AAA_11[889:936]-AAA_12[980:1160]	tr|A0A0K8PK08|A0A0K8PK08_STRAJ
Peptidase_C14[7:247]-AAA_11[554:631]-AAA_11[865:904]-AAA_12[937:1119]	tr|A0A285R9E3|A0A285R9E3_9ACTN
Peptidase_C14[3:229]-AAA_11[514:760]-AAA_11[818:857]-AAA_12[900:1075]	tr|D3Q9D3|D3Q9D3_STANL
Peptidase_C14[6:251]-AAA_11[555:916]-AAA_12[958:1139]	tr|A0A5C6JPE6|A0A5C6JPE6_9ACTN
Peptidase_C14[6:238]-AAA_11[554:625]-AAA_19[631:876]-AAA_11[877:916]-AAA_12[960:1141]	tr|A0A1Q5N8G6|A0A1Q5N8G6_9ACTN
Peptidase_C14[7:255]-AAA_11[555:896]-AAA_12[931:1105]	tr|A0A1V2TFD5|A0A1V2TFD5_9NOCA
Peptidase_C14[3:221]-AAA_11[546:628]-AAA_11[851:890]-AAA_12[938:1108]	tr|A0A317MF35|A0A317MF35_9ACTN
Peptidase_C14[6:250]-AAA_11[563:927]-AAA_12[972:1151]	tr|A0A5C8Q1T4|A0A5C8Q1T4_9ACTN
Peptidase_C14[6:240]-AAA_30[557:646]-AAA_19[647:880]-AAA_11[881:923]-AAA_12[967:1147]	tr|A0A086GQD7|A0A086GQD7_STRSC
Peptidase_C14[6:246]-AAA_11[556:628]-AAA_19[629:887]-AAA_11[888:926]-AAA_12[970:1150]	tr|A0A101UKE5|A0A101UKE5_9ACTN
Peptidase_C14[6:242]-AAA_11[556:629]-AAA_30[630:636]-AAA_19[637:889]-AAA_11[890:932]-AAA_12[976:1156]	tr|A0A1D2IHF1|A0A1D2IHF1_9ACTN
Peptidase_C14[6:251]-AAA_30[556:638]-AAA_19[639:819]-AAA_11[820:917]-AAA_12[957:1140]	tr|F8JQP4|F8JQP4_STREN
Peptidase_C14[7:246]-AAA_11[555:702]-AAA_11[875:914]-AAA_12[957:1129]	tr|A0A6G7SSA9|A0A6G7SSA9_9ACTN
Peptidase_C14[6:251]-AAA_30[554:616]-AAA_11[617:630]-AAA_19[631:874]-AAA_11[875:915]-AAA_12[957:1138]	tr|A0A429JND7|A0A429JND7_9ACTN
Peptidase_C14[6:251]-AAA_11[559:635]-AAA_19[636:884]-AAA_11[885:927]-AAA_12[973:1152]	tr|A0A2K8R344|A0A2K8R344_9ACTN
Peptidase_C14[6:251]-AAA_11[559:635]-AAA_19[636:884]-AAA_11[885:927]-AAA_12[973:1152]	tr|A0A6G2XX06|A0A6G2XX06_9ACTN
Peptidase_C14[6:248]-AAA_11[560:631]-AAA_30[632:650]-AAA_11[888:927]-AAA_12[972:1150]	tr|A0A4Q7XJM8|A0A4Q7XJM8_9ACTN
Peptidase_C14[6:249]-AAA_11[560:632]-AAA_19[633:884]-AAA_11[885:927]-AAA_12[971:1152]	tr|G2GF32|G2GF32_9ACTN
Peptidase_C14[7:247]-AAA_11[552:700]-AAA_12[955:1127]	tr|A0A4R7JND7|A0A4R7JND7_9ACTN
Peptidase_C14[3:220]-AAA_11[557:900]-AAA_12[948:1117]	tr|A0A1M6H4A6|A0A1M6H4A6_9ACTN
Peptidase_C14[6:247]-AAA_11[560:629]-AAA_19[630:883]-AAA_11[884:927]-AAA_12[971:1152]	tr|B5HT45|B5HT45_9ACTN
Peptidase_C14[7:245]-AAA_11[552:668]-AAA_12[945:1117]	tr|D9WQY3|D9WQY3_9ACTN
Peptidase_C14[7:243]-AAA_11[555:907]-AAA_12[948:1120]	tr|A0A1A9C0Y2|A0A1A9C0Y2_9ACTN
Peptidase_C14[7:246]-AAA_11[554:654]-AAA_30[655:678]-AAA_11[875:912]-AAA_12[957:1129]	tr|A0A510D5H5|A0A510D5H5_STRRO
Peptidase_C14[6:202]-AAA_11[555:917]-AAA_12[960:1142]	tr|A0A1A9QSM5|A0A1A9QSM5_STRA9
Peptidase_C14[7:245]-AAA_11[554:718]-AAA_11[875:914]-AAA_12[953:1131]	tr|A0A1V0V7J6|A0A1V0V7J6_9ACTN
Peptidase_C14[6:251]-AAA_11[556:917]-AAA_12[959:1139]	tr|A0A4R7HVN1|A0A4R7HVN1_9ACTN
Peptidase_C14[7:245]-AAA_11[554:691]-AAA_11[875:914]-AAA_12[953:1130]	tr|A0A429TQW9|A0A429TQW9_9ACTN
Peptidase_C14[7:245]-AAA_11[555:652]-AAA_11[875:914]-AAA_12[957:1129]	tr|A0A2U8VE25|A0A2U8VE25_9ACTN
Peptidase_C14[7:246]-AAA_11[555:654]-AAA_30[655:678]-AAA_11[875:912]-AAA_12[955:1129]	tr|A0A1C5EXN4|A0A1C5EXN4_9ACTN
Peptidase_C14[7:246]-AAA_11[555:654]-AAA_30[655:678]-AAA_11[875:912]-AAA_12[955:1129]	tr|A0A6G2N403|A0A6G2N403_9ACTN
Peptidase_C14[7:245]-AAA_11[554:698]-AAA_11[875:912]-AAA_12[953:1130]	tr|V6K4N0|V6K4N0_STRNV
Peptidase_C14[7:245]-AAA_11[554:629]-AAA_11[866:903]-AAA_12[950:1121]	tr|A0A3L8KQC7|A0A3L8KQC7_9ACTN
Peptidase_C14[7:247]-AAA_11[552:698]-AAA_12[955:1127]	tr|A0A454WIT6|A0A454WIT6_9ACTN
Peptidase_C14[7:242]-AAA_11[551:628]-AAA_11[877:918]-AAA_12[959:1131]	tr|A0A498DK50|A0A498DK50_9ACTN
Peptidase_C14[6:207]-AAA_11[556:921]-AAA_12[966:1146]	tr|A0A3A9Z0A0|A0A3A9Z0A0_9ACTN
Peptidase_C14[7:243]-AAA_11[554:903]-AAA_12[948:1120]	tr|A0A365ZLE9|A0A365ZLE9_9ACTN
Peptidase_C14[7:245]-AAA_11[547:611]-AAA_11[851:901]-AAA_12[947:1118]	tr|A0A263DM60|A0A263DM60_9PSEU
Peptidase_C14[7:246]-AAA_11[555:693]-AAA_19[694:874]-AAA_11[875:912]-AAA_12[957:1131]	tr|A0A1I6VI69|A0A1I6VI69_9ACTN
Peptidase_C14[7:245]-AAA_11[555:654]-AAA_30[655:664]-AAA_11[875:912]-AAA_12[953:1131]	tr|A0A1Q4ZIF0|A0A1Q4ZIF0_9ACTN
Peptidase_C14[7:245]-AAA_11[555:668]-AAA_11[875:914]-AAA_12[953:1131]	tr|A0A1A9CTR4|A0A1A9CTR4_9ACTN
Peptidase_C14[7:245]-AAA_11[555:668]-AAA_11[875:914]-AAA_12[953:1131]	tr|A0A6G2P6C8|A0A6G2P6C8_9ACTN
Peptidase_C14[7:245]-AAA_11[555:673]-AAA_11[875:914]-AAA_12[953:1130]	tr|A0A1Q5F388|A0A1Q5F388_9ACTN
Peptidase_C14[7:247]-AAA_11[555:693]-AAA_11[875:912]-AAA_12[953:1130]	tr|A0A5P2XLP3|A0A5P2XLP3_STRRM
Peptidase_C14[7:247]-AAA_11[555:693]-AAA_11[875:912]-AAA_12[953:1130]	tr|A0A656WNL3|A0A656WNL3_9ACTN
Peptidase_C14[7:247]-AAA_11[555:693]-AAA_11[875:912]-AAA_12[953:1130]	tr|A0A6I6KUS6|A0A6I6KUS6_STRRM
Peptidase_C14[7:247]-AAA_11[555:693]-AAA_11[875:912]-AAA_12[953:1130]	tr|L8EV49|L8EV49_STRR1
Peptidase_C14[7:245]-AAA_11[555:635]-AAA_11[875:914]-AAA_12[953:1131]	tr|A0A1C6R5H0|A0A1C6R5H0_9ACTN
Peptidase_C14[7:245]-AAA_11[555:635]-AAA_11[875:914]-AAA_12[953:1131]	tr|A0A2V2Q4G3|A0A2V2Q4G3_9ACTN
Peptidase_C14[6:244]-AAA_30[556:639]-AAA_19[640:879]-AAA_11[880:916]-AAA_12[959:1140]	tr|A0A1B9EY66|A0A1B9EY66_9ACTN
Peptidase_C14[7:241]-AAA_11[552:619]-AAA_11[864:901]-AAA_12[945:1118]	tr|A0A0X3XEW0|A0A0X3XEW0_STRVO
Peptidase_C14[7:247]-AAA_11[555:654]-AAA_19[655:874]-AAA_11[875:912]-AAA_12[954:1130]	tr|A0A1V4ADG7|A0A1V4ADG7_9ACTN
Peptidase_C14[7:245]-AAA_11[553:625]-AAA_19[626:902]-AAA_12[947:1120]	tr|A0A5R9M4N9|A0A5R9M4N9_9ACTN
Peptidase_C14[7:247]-AAA_11[552:699]-AAA_12[956:1127]	tr|A0A4Z0VQD1|A0A4Z0VQD1_9ACTN
Peptidase_C14[7:244]-AAA_11[549:626]-AAA_11[870:907]-AAA_12[951:1124]	tr|A0A561SL78|A0A561SL78_9PSEU
Peptidase_C14[142:381]-AAA_11[678:823]	tr|A0A429D3V2|A0A429D3V2_9PSEU
Peptidase_C14[170:402]-AAA_11[715:792]	tr|B5GZG4|B5GZG4_STRCL
Peptidase_C14[7:247]-AAA_12[958:1128]	tr|A0A4Q8CVW8|A0A4Q8CVW8_9ACTN
Peptidase_C14[15:155]-AAA_16[293:421]	tr|A0A1H0HU75|A0A1H0HU75_9ACTN
Peptidase_C14[11:255]-AAA_16[308:433]-NACHT[434:489]	tr|A0A402A8A8|A0A402A8A8_9CHLR
Peptidase_C14[5:154]-AAA_16[275:429]	tr|A0A2T1CCY8|A0A2T1CCY8_9CYAN
Peptidase_C14[5:161]-AAA_16[271:427]-WD40[969:1013]-WD40[1210:1246]-WD40[1469:1494]-WD40[1498:1536]-WD40[1588:1619]	tr|A0A2W7AIW1|A0A2W7AIW1_9CYAN
Peptidase_C14[12:238]-AAA_16[276:325]	tr|A0A5P2XHJ5|A0A5P2XHJ5_STRST
Peptidase_C14[12:238]-AAA_16[276:327]	tr|A0A5B7V616|A0A5B7V616_9ACTN
Peptidase_C14[5:228]-AAA_16[281:431]	tr|A0A1U7J1U7|A0A1U7J1U7_9CYAN
Peptidase_C14[5:225]-AAA_16[281:438]	tr|A0A1Z3HS70|A0A1Z3HS70_9CYAN
Peptidase_C14[11:246]-AAA_16[321:499]-WD40[1179:1207]-WD40[1425:1449]-WD40[1465:1497]-WD40[1607:1633]-WD40[2027:2059]	tr|B4VIC9|B4VIC9_9CYAN
Peptidase_C14[11:220]-AAA_16[289:422]-WD40[799:834]-WD40[890:923]-WD40[1075:1114]-WD40[1166:1199]-WD40[1206:1245]-WD40[1568:1602]	tr|D7B522|D7B522_NOCDD
Peptidase_C14[5:228]-AAA_16[281:434]	tr|A0A2W6ZYL1|A0A2W6ZYL1_9CYAN
Peptidase_C14[9:144]-AAA_16[314:451]	tr|A0A518H976|A0A518H976_9BACT
Peptidase_C14[8:170]-AAA_16[310:463]-NACHT[464:505]-WD40[839:871]-WD40[888:912]-WD40[916:953]-WD40[956:994]-WD40[997:1035]-WD40[1133:1170]-WD40[1173:1210]-WD40[1214:1251]-WD40[1260:1293]-WD40[1297:1334]	tr|K9VUM6|K9VUM6_9CYAN
Peptidase_C14[15:261]-AAA_16[304:367]	tr|A0A1N6DTI3|A0A1N6DTI3_9BACT
Peptidase_C14[12:394]-AAA_16[395:442]	tr|A0A1Z4NG51|A0A1Z4NG51_9CYAN
Peptidase_C14[9:230]-AAA_16[318:463]-NACHT[464:474]-WD40[1007:1021]-ANAPC4_WD40[1022:1055]-WD40[1056:1085]-WD40[1091:1127]-WD40[1132:1168]-WD40[1172:1208]-PD40[1214:1236]-WD40[1250:1279]-WD40[1285:1319]-WD40[1332:1359]-ANAPC4_WD40[1385:1469]-WD40[1470:1487]-WD40[1492:1529]	tr|A0A1D9FZF6|A0A1D9FZF6_9CYAN
Peptidase_C14[11:220]-AAA_16[289:422]-WD40[799:834]-WD40[890:923]-WD40[1164:1199]-WD40[1206:1245]-WD40[1569:1603]	tr|A0A223QH99|A0A223QH99_NOCDA
Peptidase_C14[5:165]-AAA_16[281:441]-NACHT[442:486]-eIF2A[933:946]-WD40[947:979]-WD40[982:1020]-WD40[1023:1061]-WD40[1064:1102]-WD40[1105:1143]-eIF2A[1144:1187]-WD40[1188:1226]-WD40[1229:1267]-WD40[1271:1308]-WD40[1311:1349]-WD40[1352:1390]-WD40[1393:1431]-WD40[1434:1479]-WD40[1482:1520]-WD40[1523:1561]-WD40[1564:1601]	tr|A0A1Z4S1T6|A0A1Z4S1T6_9NOSO
Peptidase_C14[25:230]-AAA_16[542:683]-WD40[1123:1161]-WD40[1164:1202]-WD40[1207:1244]-WD40[1248:1286]-WD40[1293:1328]-ANAPC4_WD40[1329:1342]-WD40[1343:1370]-WD40[1381:1389]-ANAPC4_WD40[1390:1478]-WD40[1479:1497]-ANAPC4_WD40[1519:1541]-WD40[1542:1578]-WD40[1585:1621]	tr|U5QIA5|U5QIA5_9CYAN
Peptidase_C14[5:159]-AAA_16[271:425]-WD40[978:1012]-WD40[1200:1236]-PD40[1304:1332]-WD40[1367:1399]-WD40[1403:1441]-WD40[1447:1480]-WD40[1489:1524]	tr|K8GF61|K8GF61_9CYAN
Peptidase_C14[4:243]-AAA_31[267:458]	tr|A0A4R6S605|A0A4R6S605_9PSEU
AAA_31[268:462]	tr|A0A2P8IBM1|A0A2P8IBM1_9PSEU
Peptidase_C14[3:242]-AAA_31[268:462]	tr|A0A1Q4X1J7|A0A1Q4X1J7_9PSEU
Peptidase_C14[32:255]-CbiA[384:495]-AAA_31[496:502]	tr|A0A661D8V0|A0A661D8V0_9GAMM
AAA_35[565:916]-Peptidase_C14[941:1189]	tr|A0A2Z5X4Z4|A0A2Z5X4Z4_9CYAN
DHC_N1[321:910]-DHC_N2[1395:1795]-AAA_6[1954:2325]-AAA_5[2326:2446]-Dynein_AAA_lid[2522:2640]-AAA_7[2653:2828]-AAA_8[2999:3248]-MT[3263:3389]-MT[3416:3653]-AAA_9[3682:3901]-Dynein_heavy[4158:4264]-AAA_lid_11[4282:4452]-Dynein_C[4460:4767]-Peptidase_C14[4854:5142]-Peptidase_C14[5174:5339]	tr|A0A4S2L5K2|A0A4S2L5K2_9HYME
ABC_tran[390:569]-Peptidase_C14[640:883]	tr|A0A4Q2E010|A0A4Q2E010_9AGAR
Abhydrolase_1[23:130]-Abhydrolase_6[131:248]-CARD[251:298]-Peptidase_C14[300:517]	tr|M7BS15|M7BS15_CHEMY
Peptidase_C14[8:280]-Abhydrolase_1[876:930]	tr|A0A512RQ00|A0A512RQ00_9BACT
Peptidase_C14[7:265]-Abhydrolase_1[831:972]	tr|A0A6A0I7D8|A0A6A0I7D8_9BACT
Peptidase_C14[146:434]-COesterase[497:990]	tr|A0A4U0X7D4|A0A4U0X7D4_9PEZI
Peptidase_C14[132:418]-COesterase[464:968]	tr|A0A4U0TKJ2|A0A4U0TKJ2_9PEZI
Peptidase_C14[37:375]-COesterase[381:889]	tr|A0A1Z5TVE8|A0A1Z5TVE8_HORWE
Peptidase_C14[188:472]-COesterase[646:1135]-UstYa[1147:1219]	tr|A0A139IMP1|A0A139IMP1_9PEZI
Peptidase_C14[358:646]-COesterase[669:1153]	tr|A0A4U0XYS1|A0A4U0XYS1_9PEZI
Peptidase_C14[8:275]-Abhydrolase_6[900:1098]	tr|A0A246BIE5|A0A246BIE5_9DEIO
Peptidase_C14[12:262]-DUF676[311:413]-Abhydrolase_6[414:462]	tr|A0A2D9N7B2|A0A2D9N7B2_9FLAO
Peptidase_C14[9:285]-Abhydrolase_6[909:1119]	tr|A0A3A0AHH9|A0A3A0AHH9_9CHLR
AbiJ_NTD3[5:149]-Peptidase_C14[157:378]	tr|A0A3E0DUT4|A0A3E0DUT4_9BACT
AbiJ_NTD3[104:255]-Peptidase_C14[258:479]	tr|A0A3D9BB52|A0A3D9BB52_9FLAO
AbiJ_NTD3[105:252]-Peptidase_C14[259:480]	tr|A0A4Q3H419|A0A4Q3H419_9SPHI
AbiJ_NTD3[107:245]-Peptidase_C14[263:484]	tr|A0A317GVH9|A0A317GVH9_9BACT
AbiJ_NTD3[104:255]-Peptidase_C14[258:479]	tr|A0A4R5D8F3|A0A4R5D8F3_9BACT
AbiJ_NTD3[115:253]-Peptidase_C14[266:487]	tr|A0A4Q1DDM1|A0A4Q1DDM1_9BACT
Peptidase_C14[171:459]-ACBP[583:660]	tr|A0A0E9N9U9|A0A0E9N9U9_SAICN
Peptidase_C14[82:364]-ACPS[397:537]-MULE[716:808]	tr|A0A2H5SXI5|A0A2H5SXI5_RHIID
DED[2:76]-DED[93:173]-Peptidase_C14[263:437]-Actin[473:617]	tr|L5MBW9|L5MBW9_MYODS
Pep_M12B_propep[85:192]-Reprolysin[204:401]-Disintegrin[416:486]-ADAM_CR[492:602]-DED[660:736]-DED[755:834]-Peptidase_C14[892:1123]	tr|A0A498LJF7|A0A498LJF7_LABRO
Pep_M12B_propep[85:192]-Reprolysin[204:401]-ADAM_CR[439:549]-DED[607:683]-DED[702:781]-Peptidase_C14[839:1023]-dsrm[1043:1107]-dsrm[1130:1195]	tr|A0A498LFS6|A0A498LFS6_LABRO
Pep_M12B_propep[109:236]-Reprolysin[275:472]-Disintegrin[487:552]-ADAM_CR[554:640]-DED[769:845]-DED[862:924]-Peptidase_C14[1005:1238]	tr|A0A553QG10|A0A553QG10_9TELE
Pep_M12B_propep[109:236]-Reprolysin[275:472]-Disintegrin[487:552]-ADAM_CR[554:640]-DED[769:845]-DED[862:924]-Peptidase_C14[1038:1271]	tr|A0A553QG29|A0A553QG29_9TELE
Reprolysin[281:494]-ADAM_CR_2[507:574]-TSP_1[589:639]-ADAM_spacer1[753:868]-TSP1_ADAMTS[1004:1057]-TSP1_ADAMTS[1104:1155]-TSP1_ADAMTS[1246:1299]-TSP1_ADAMTS[1327:1376]-TSP1_ADAMTS[1379:1429]-TSP1_ADAMTS[1520:1578]-TSP1_ADAMTS[1584:1643]-GON[1646:1843]-Peptidase_C14[1940:2172]	tr|A0A553P9Y0|A0A553P9Y0_TIGCA
Peptidase_C14[140:347]-HEAT_2[836:920]-Adaptin_N[921:961]-HEAT_2[962:1106]-Adaptin_N[1107:1153]-HEAT_2[1154:1260]-HEAT_2[1262:1275]-HEAT_2[1290:1450]-Adaptin_N[1451:1590]-HEAT_2[1591:1603]-HEAT_2[1660:2006]	tr|A0A5S9IQP4|A0A5S9IQP4_9BACT
Peptidase_C14[143:360]-HEAT_2[896:1064]-Adaptin_N[1098:1116]-HEAT_2[1117:1205]-Adaptin_N[1206:1308]-HEAT_2[1309:1397]-Adaptin_N[1398:1435]-HEAT_2[1436:1499]-HEAT_2[1600:1752]-HEAT_2[1762:1964]-HEAT_2[2016:2262]	tr|A0A5S9F5I1|A0A5S9F5I1_9BACT
